,wavelength,pacs160,pacs100,dnu
13092,14.11429882,0,5.00E-08,-7546017286
13093,14.11929893,0,5.00E-08,-7546017286
13094,14.12430096,0,5.00E-08,-7546017286
13095,14.12930107,0,5.00E-08,-7546017286
13096,14.13430119,0,5.00E-08,-7546017286
13097,14.13930035,0,5.00E-08,-7546017286
13098,14.14430046,0,5.00E-08,-7546017286
13099,14.14929962,0,5.00E-08,-7546017286
13100,14.15429878,0,5.00E-08,-7546017286
13101,14.1592989,0,5.00E-08,-7546017286
13102,14.16429901,0,5.00E-08,-7546017286
13103,14.16930103,0,5.00E-08,-7546017286
13104,14.17430115,0,5.00E-08,-7546017286
13105,14.17940044,0,5.00E-08,-7546017286
13106,14.1843996,0,5.00E-08,-7546017286
13107,14.18939972,0,5.00E-08,-7546017286
13108,14.19449902,0,5.00E-08,-7546017286
13109,14.19950104,0,5.00E-08,-7546017286
13110,14.20450115,0,5.00E-08,-7546017286
13111,14.20960045,0,5.00E-08,-7546017286
13112,14.21459961,0,5.00E-08,-7546017286
13113,14.21969891,0,5.00E-08,-7546017286
13114,14.22480011,0,5.00E-08,-7546017286
13115,14.22980022,0,5.00E-08,-7546017286
13116,14.23490047,0,5.00E-08,-7546017286
13117,14.23989964,0,5.00E-08,-7546017286
13118,14.24499989,0,5.00E-08,-7546017286
13119,14.25010109,0,5.00E-08,-7546017286
13120,14.25520039,0,5.00E-08,-7546017286
13121,14.26019955,0,5.00E-08,-7546017286
13122,14.26529884,0,5.00E-08,-7546017286
13123,14.27040005,0,5.00E-08,-7546017286
13124,14.27550125,0,5.00E-08,-7546017286
13125,14.28059959,0,5.00E-08,-7546017286
13126,14.28569889,0,5.00E-08,-7546017286
13127,14.29080009,0,5.00E-08,-7546017286
13128,14.29590034,0,5.00E-08,-7546017286
13129,14.30099964,0,5.00E-08,-7546017286
13130,14.30620003,0,5.00E-08,-7546017286
13131,14.31130123,0,5.00E-08,-7546017286
