,wavelength,spire500,spire350,spire250,dnu
98,198.378,9.08E-11,1.49E-06,0.00622464,-2933316080
99,198.773,6.59E-11,1.57E-06,0.00692084,-2933316080
100,199.129,3.23E-10,1.67E-06,0.00764836,-2933316080
101,199.526,2.26E-10,5.49E-06,0.00844448,-2933316080
102,199.925,-4.45E-11,3.89E-06,0.00936908,-2933316080
103,200.326,1.41E-10,3.03E-07,0.0103068,-2933316080
104,200.728,2.14E-10,7.62E-07,0.0116365,-2933316080
105,201.091,2.40E-10,3.76E-07,0.0130882,-2933316080
106,201.496,-1.55E-12,3.40E-07,0.0146854,-2933316080
107,201.903,3.19E-11,5.09E-07,0.0168291,-2933316080
108,202.311,3.62E-10,7.21E-07,0.0189944,-2933316080
109,202.721,-2.01E-10,3.20E-07,0.0214686,-2933316080
110,203.092,1.91E-10,5.91E-07,0.0241342,-2933316080
111,203.505,1.56E-09,9.30E-07,0.026889,-2933316080
112,203.92,4.79E-10,7.44E-07,0.0311481,-2933316080
113,204.337,-2.88E-10,1.54E-06,0.0354367,-2933316080
114,204.713,-1.52E-09,2.78E-06,0.0403534,-2933316080
115,205.133,4.21E-09,6.46E-07,0.0460026,-2933316080
116,205.555,-2.34E-09,1.29E-06,0.0516982,-2933316080
117,205.978,7.27E-10,9.54E-07,0.0596565,-2933316080
118,206.404,-2.32E-10,1.03E-06,0.0679305,-2933316080
119,206.788,1.31E-09,1.34E-06,0.0776405,-2933316080
120,207.216,-1.43E-10,7.81E-07,0.0903427,-2933316080
121,207.646,-2.06E-10,1.09E-06,0.103134,-2933316080
122,208.078,2.67E-10,1.14E-06,0.116894,-2933316080
123,208.512,1.63E-10,1.29E-06,0.131119,-2933316080
124,208.904,-1.79E-11,1.22E-06,0.145097,-2933316080
125,209.342,1.02E-10,1.76E-06,0.158038,-2933316080
126,209.781,1.79E-10,1.31E-06,0.171145,-2933316080
127,210.222,3.42E-11,6.43E-07,0.186057,-2933316080
128,210.62,-3.68E-11,1.17E-06,0.2022,-2933316080
129,211.065,2.20E-11,8.38E-07,0.218599,-2933316080
130,211.511,6.62E-11,1.53E-06,0.239028,-2933316080
131,211.96,2.80E-11,2.23E-07,0.259604,-2933316080
132,212.41,-1.61E-11,8.98E-07,0.277902,-2933316080
133,212.817,-6.06E-11,1.03E-06,0.293105,-2933316080
134,213.27,-7.02E-11,1.50E-06,0.308442,-2933316080
135,213.726,-3.92E-11,6.29E-07,0.314083,-2933316080
136,214.184,-4.92E-11,8.59E-07,0.318149,-2933316080
137,214.644,-3.22E-11,1.20E-06,0.322552,-2933316080
138,215.059,-1.74E-11,1.55E-06,0.327717,-2933316080
139,215.523,1.94E-12,8.33E-07,0.332959,-2933316080
140,215.988,-1.16E-11,8.17E-07,0.338784,-2933316080
141,216.456,-3.05E-11,7.17E-07,0.344884,-2933316080
142,216.878,-3.66E-11,1.42E-06,0.350663,-2933316080
143,217.35,-3.73E-11,1.01E-06,0.355192,-2933316080
144,217.823,4.60E-11,7.10E-07,0.359752,-2933316080
145,218.298,4.32E-11,1.95E-06,0.362756,-2933316080
146,218.776,-1.16E-11,1.63E-06,0.364584,-2933316080
147,219.208,6.14E-11,2.18E-06,0.366207,-2933316080
148,219.689,1.14E-11,2.80E-06,0.373597,-2933316080
149,220.173,4.44E-11,1.99E-06,0.381039,-2933316080
150,220.659,-8.67E-12,1.75E-06,0.385867,-2933316080
151,221.098,-1.91E-11,1.59E-06,0.386524,-2933316080
152,221.588,-5.32E-12,1.33E-06,0.387329,-2933316080
153,222.08,-3.01E-11,1.63E-06,0.386094,-2933316080
154,222.574,-6.34E-12,1.85E-06,0.384437,-2933316080
155,223.071,-6.96E-11,1.45E-06,0.383342,-2933316080
156,223.519,3.42E-11,2.37E-06,0.384158,-2933316080
157,224.02,2.11E-12,2.90E-06,0.385041,-2933316080
158,224.523,1.18E-11,2.48E-06,0.395425,-2933316080
159,225.028,6.73E-12,2.17E-06,0.410402,-2933316080
160,225.536,1.32E-11,3.95E-06,0.424735,-2933316080
161,225.994,1.39E-11,3.56E-06,0.433196,-2933316080
162,226.506,5.45E-11,3.23E-06,0.441968,-2933316080
163,227.02,2.47E-11,4.31E-06,0.444099,-2933316080
164,227.537,-4.03E-12,2.15E-06,0.44045,-2933316080
165,228.004,-1.69E-12,2.55E-06,0.436601,-2933316080
166,228.525,-1.88E-13,1.46E-06,0.436582,-2933316080
167,229.048,-5.46E-11,2.28E-06,0.436818,-2933316080
168,229.574,-3.22E-11,2.21E-06,0.442763,-2933316080
169,230.102,-2.25E-11,2.43E-06,0.458306,-2933316080
170,230.58,1.80E-11,2.87E-06,0.473781,-2933316080
171,231.113,2.64E-10,2.13E-06,0.485007,-2933316080
172,231.648,1.94E-10,2.04E-06,0.495175,-2933316080
173,232.186,1.43E-11,1.79E-06,0.504099,-2933316080
174,232.726,-1.20E-10,6.61E-07,0.508308,-2933316080
175,233.215,-3.10E-11,5.18E-07,0.512345,-2933316080
176,233.76,1.75E-10,6.84E-08,0.515096,-2933316080
177,234.308,1.87E-10,-1.50E-06,0.51706,-2933316080
178,234.858,2.49E-11,1.14E-06,0.519395,-2933316080
179,235.355,3.44E-11,2.36E-06,0.525599,-2933316080
180,235.911,-4.55E-11,2.28E-06,0.532148,-2933316080
181,236.468,6.75E-11,2.35E-06,0.534107,-2933316080
182,237.029,2.24E-11,3.85E-06,0.53142,-2933316080
183,237.592,-1.49E-11,4.80E-06,0.528799,-2933316080
184,238.101,-5.15E-11,3.72E-06,0.530543,-2933316080
185,238.669,2.72E-11,4.42E-06,0.532975,-2933316080
186,239.24,-2.12E-11,3.95E-06,0.538856,-2933316080
187,239.814,4.78E-11,5.53E-06,0.55149,-2933316080
188,240.391,-2.17E-12,4.54E-06,0.56413,-2933316080
189,240.912,-1.37E-11,6.56E-06,0.575413,-2933316080
190,241.494,2.77E-12,6.09E-06,0.58664,-2933316080
191,242.078,2.64E-11,5.57E-06,0.593979,-2933316080
192,242.666,-2.93E-13,4.35E-06,0.585119,-2933316080
193,243.197,-1.04E-11,4.09E-06,0.575943,-2933316080
194,243.79,-1.52E-10,4.98E-06,0.568271,-2933316080
195,244.385,-1.16E-10,4.56E-06,0.561398,-2933316080
196,244.984,1.65E-11,6.87E-06,0.555236,-2933316080
197,245.586,-3.92E-12,5.39E-06,0.564153,-2933316080
198,246.13,1.87E-10,4.65E-06,0.572901,-2933316080
199,246.737,-1.23E-10,4.23E-06,0.584792,-2933316080
200,247.347,-4.80E-11,7.79E-06,0.599921,-2933316080
201,247.961,-1.20E-10,8.03E-06,0.615174,-2933316080
202,248.577,-1.21E-10,5.80E-06,0.615102,-2933316080
203,249.134,-8.11E-11,7.06E-06,0.612975,-2933316080
204,249.757,-7.41E-11,8.06E-06,0.609789,-2933316080
205,250.382,3.72E-11,7.03E-06,0.603765,-2933316080
206,251.01,1.59E-10,5.77E-06,0.597684,-2933316080
207,251.579,-1.89E-10,6.81E-06,0.601401,-2933316080
208,252.213,3.41E-11,8.56E-06,0.608956,-2933316080
209,252.851,1.85E-10,7.00E-06,0.616469,-2933316080
210,253.492,1.48E-10,1.23E-05,0.62435,-2933316080
211,254.136,2.31E-10,1.63E-05,0.632294,-2933316080
